Title,Release_Date,Expired_Date,Document_Number,Document_Type,Activity_Code,Clinical_Trials,URL
Advancing Research Needed to Develop a Universal Influenza Vaccine (R01 Clinical Trial Not Allowed),7/18/2018,9/8/2021,PA-18-859,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-859.html
Advancing Research Needed to Develop a Universal Influenza Vaccine (R21 Clinical Trial Not Allowed),7/18/2018,9/8/2021,PA-18-858,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-858.html
BRAIN Initiative: Integration and Analysis of BRAIN Initiative Data (R01 Clinical Trial Not Allowed),7/17/2018,3/5/2021,RFA-MH-19-147,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-147.html
BRAIN Initiative: Data Archives for the BRAIN Initiative (R24 Clinical Trial Optional),7/17/2018,9/7/2019,RFA-MH-19-145,RFA,R24,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-145.html
BRAIN Initiative: Standards to Define Experiments Related to the BRAIN Initiative (R01 Clinical Trial Not Allowed),7/17/2018,9/7/2019,RFA-MH-19-146,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-146.html
Diet and Physical Activity Assessment Methodology (R21 Clinical Trial Not Allowed),7/17/2018,9/8/2021,PAR-18-857,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-857.html
Diet and Physical Activity Assessment Methodology (R01 Clinical Trial Not Allowed),7/17/2018,9/8/2021,PA-18-856,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-856.html
Time-Sensitive Obesity Policy and Program Evaluation (R01 Clinical Trial Not Allowed),7/12/2018,9/11/2021,PAR-18-854,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-854.html
Drug Transport Across the Blood-Testis and Blood-Epididymal Barriers (R61/R33 - Clinical Trial Not Allowed),7/10/2018,11/28/2020,PAR-18-853,PAR,R61/R33,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-853.html
Leadership Group for a Clinical Research Network on Antibacterial Resistance (UM1 Clinical Trial Required),7/9/2018,1/4/2019,RFA-AI-18-036,RFA,UM1,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-036.html
"Limited Competition: NIDCD National Temporal Bone, Hearing and Balance Pathology Resource Registry (U24 Clinical Trial Not Allowed)",7/5/2018,6/25/2019,RFA-DC-19-002,RFA,U24,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-19-002.html
NIBIB Supplements to NCATS CTSA Programs to Support NIBIB Translational Research Scholars (Admin Supp Clinical Trials Optional),7/5/2018,12/12/2018,PA-18-851,PA,(Admin_Supp),Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-851.html
Prevention Research in Mid-Life Adults (R01 Clinical Trial Optional),7/5/2018,9/8/2021,PA-18-849,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-849.html
Prevention Research in Mid-Life Adults (R21 Clinical Trial Optional),7/5/2018,9/8/2021,PA-18-850,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-850.html
Superfund Hazardous Substance Research and Training Program (P42 Clinical Trial Optional),7/3/2018,12/20/2018,RFA-ES-18-002,RFA,P42,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-18-002.html
NIDCD Hearing Healthcare for Adults: Improving Access and Affordability (R21/R33 Clinical Trials Optional),7/3/2018,6/5/2021,RFA-DC-19-001,RFA,R21/R33,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-19-001.html
Halting TB Transmission in HIV-Endemic and Other High-Transmission Settings (R01 Clinical Trial Not Allowed),7/3/2018,12/6/2018,RFA-AI-18-037,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-037.html
NIMH Career Enhancement Award to Advance Autism Services for Adults and Transition-Age Youth (K18 Clinical Trials Required),7/3/2018,6/22/2019,RFA-MH-19-101,RFA,K18,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-101.html
NIMH Career Enhancement Award to Advance Autism Services for Adults and Transition-Age Youth (K18 Clinical Trials Not Allowed),7/3/2018,6/22/2019,RFA-MH-19-100,RFA,K18,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-100.html
Electronic Nicotine Delivery Systems (ENDS): Basic Mechanisms of Health Effects (R01 - Clinical Trial Not Allowed),6/29/2018,6/28/2020,PAR-18-845,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-845.html
Electronic Nicotine Delivery Systems (ENDS): Basic Mechanisms of Health Effects (R21 - Clinical Trial Not Allowed),6/29/2018,6/28/2020,PAR-18-846,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-846.html
"Electronic Nicotine Delivery Systems (ENDS): Population, Clinical and Applied Prevention Research (R01 - Clinical Trial Optional)",6/29/2018,6/28/2020,PAR-18-847,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-847.html
"Electronic Nicotine Delivery Systems (ENDS): Population, Clinical and Applied Prevention Research (R21 - Clinical Trial Optional)",6/29/2018,6/28/2020,PAR-18-848,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-848.html
Investigator Initiated Research in Computational Genomics and Data Science (R01 Clinical Trial Not Allowed),6/28/2018,9/8/2021,PAR-18-844,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-844.html
Investigator Initiated Research in Computational Genomics and Data Science (R21 Clinical Trial Not Allowed),6/28/2018,9/8/2021,PAR-18-843,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-843.html
Elucidating the Functional Roles of Non-Coding RNAs in Viral Infectious Diseases (R21 Clinical Trial Not Allowed),6/28/2018,11/16/2018,RFA-AI-18-025,RFA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-025.html
Advancing mAbs to Achieve a Drug-free Sustained HIV Virologic Remission (U01 Clinical Trial Required),6/28/2018,10/10/2019,RFA-AI-18-022,RFA,U01,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-022.html
Administrative Supplements to Support Cancer Disparity Collaborative Research (Clinical Trial Optional),6/28/2018,9/11/2020,PA-18-842,PA,(Admin_Supp),Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-842.html
Oncology Co-Clinical Imaging Research Resources to Encourage Consensus on Quantitative Imaging Methods and Precision Medicine (U24 - Clinical Trial Optional),6/28/2018,6/15/2021,PAR-18-841,PAR,U24,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-841.html
Integrative Omics to Enhance Therapeutics Development for Healthy Aging (UH2/UH3 Clinical Trial Not Allowed),6/27/2018,11/15/2018,RFA-AG-19-011,RFA,UH2/UH3,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-19-011.html
Global Infectious Disease Research Training Program (D43 Clinical Trial Optional),6/26/2018,7/26/2019,PAR-18-840,PAR,D43,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-840.html
Role of Gut Microbiome in Regulating Reproduction and Its Impact on Fertility Status in Women Living with and Without HIV (R01 - Clinical Trial Optional),6/26/2018,9/8/2021,PA-18-838,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-838.html
Role of Gut Microbiome in Regulating Reproduction and Its Impact on Fertility Status in Women Living with and Without HIV (R21 Clinical Trial Optional),6/26/2018,9/8/2021,PA-18-839,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-839.html
High-Priority Behavioral and Social Research Networks (R24 Clinical Trial Not Allowed),6/21/2018,2/2/2019,RFA-AG-19-015,RFA,R24,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-19-015.html
High-Priority Behavioral and Social Research Networks in Alzheimer's Disease and Alzheimer's Disease Related Dementias (R24 Clinical Trial Not Allowed),6/21/2018,2/2/2019,RFA-AG-19-016,RFA,R24,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-19-016.html
Administrative  Supplements to Promote Diversity in Small Businesses-SBIR/STTR (Admin Supp Clinical Trial Not Allowed),6/20/2018,9/5/2021,PA-18-837,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-837.html
Modeling and Simulation to Optimize HIV Prevention Research (MS OPR) (R01 Clinical Trial not allowed),6/19/2018,12/14/2018,RFA-AI-18-026,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-026.html
Global Brain and Nervous System Disorders Research Across the Lifespan (R01 Clinical Trials Optional),6/19/2018,11/7/2020,PAR-18-835,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-835.html
Global Brain and Nervous System Disorders Research Across the Lifespan (R21 Clinical Trial Optional),6/19/2018,11/7/2020,PAR-18-836,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-836.html
Enhancing Developmental Biology Research at Academic Research Enhancement Award Eligible Institutions (R15 - Clinical Trial Not Allowed),6/18/2018,9/19/2020,PAR-18-834,PAR,R15,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-834.html
AIDS Research Center on Mental Health and HIV/AIDS (P30 Clinical Trial Optional),6/15/2018,9/12/2020,PAR-18-832,PAR,P30,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-832.html
Developmental AIDS Research Center on Mental Health and HIV/AIDS (P30 Clinical Trial Optional),6/15/2018,9/12/2020,PAR-18-833,PAR,P30,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-833.html
Development of Novel Nonsteroidal Contraceptive  Methods (R61/R33 - Clinical Trial Not Allowed),6/15/2018,11/7/2018,RFA-HD-19-015,RFA,R61/R33,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-19-015.html
The Role of Epitranscriptomics in Development and Disease (R21 - Clinical Trial Not Allowed),6/14/2018,6/4/2021,PAR-18-831,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-831.html
The Role of Epitranscriptomics in Development and Disease (R01 - Clinical Trial Not Allowed),6/14/2018,6/4/2021,PAR-18-830,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-830.html
NCCIH Natural Product Early Phase Clinical Trial  Award (R33 Clinical Trial Required),6/13/2018,11/5/2019,PAR-18-828,PAR,R33,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-828.html
NCCIH Natural Product Early Phase Clinical Trial Phased Innovation Award (R61/R33 Clinical Trial Required),6/13/2018,11/5/2019,PAR-18-829,PAR,R61/R33,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-829.html
Minor Use Minor Species Development of Drugs (R01),6/11/2018,1/16/2021,PAR-18-827,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-827.html
Gastrointestinal Mechanisms Contributing to HIV Pathogenesis (R01 Clinical Trial Not Allowed),6/11/2018,3/15/2019,RFA-DK-18-009,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-009.html
Sustained Release Innovation for HIV (SRI) (R61/R33 Clinical Trial Optional),6/11/2018,12/1/2018,RFA-AI-18-006,RFA,R61/R33,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-006.html
Analyses of Adherence Strategies and Data Sets from CALERIE to Explore Behavioral and Psychosocial Aspects of Sustained Caloric Restriction in Humans (R01 - Clinical Trial Not Allowed),6/8/2018,9/8/2021,PA-18-825,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-825.html
Exploratory Analyses of Adherence Strategies and Data Sets from CALERIE to Investigate Behavioral and Psychosocial Aspects of Sustained Caloric Restriction in Humans (R21 - Clinical Trial Not Allowed),6/8/2018,9/8/2021,PA-18-826,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-826.html
Exploratory Analyses of CALERIE Data and Biospecimens to Elucidate Mechanisms of Caloric Restriction (CR)-Induced Effects in Humans (R21 - Clinical Trial Not Allowed),6/8/2018,9/8/2021,PA-18-824,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-824.html
Analyses of CALERIE Data and Biospecimens to Elucidate Mechanisms of Caloric Restriction (CR)-Induced Effects in Humans (R01 - Clinical Trial Not Allowed),6/8/2018,9/8/2021,PA-18-823,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-823.html
Approaches for Understanding Disease Mechanisms and Improving Outcomes in TB Meningitis (TBM) (R01 Clinical Trial Not Allowed),6/7/2018,9/5/2020,PAR-18-822,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-822.html
Alzheimer's Drug-Development Program (U01 Clinical Trial Optional),6/7/2018,9/8/2021,PAR-18-820,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-820.html
Lab to Marketplace: Tools for Brain and Behavioral Research (R43/R44 - Clinical Trial Optional),6/6/2018,1/6/2021,PA-18-819,PA,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-819.html
Administrative Supplements for Validation Studies of Analytical Methods for Dietary Supplement Constituents (Admin Supp - Clinical Trial Not Allowed),6/5/2018,4/16/2020,PA-18-818,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-818.html
Administrative Supplements for Research on Dietary Supplements (Admin. Supp.- Clinical Trial Not Allowed),6/5/2018,4/16/2020,PA-18-817,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-817.html
Better Defining Growth Medium to Improve Reproducibility of Cell Culture (SBIR) (R43/R44 - Clinical Trial Not Allowed),6/5/2018,4/6/2021,PA-18-815,PA,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-815.html
Better Defining Growth Medium to Improve Reproducibility of Cell Culture (STTR) (R41/R42 - Clinical Trial Not Allowed),6/5/2018,4/6/2021,PA-18-816,PA,R41/R42,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-816.html
BRAIN Initiative Advanced Postdoctoral Career Transition Award to Promote Diversity (K99/R00 Clinical Trial Required),6/1/2018,5/8/2021,PAR-18-813,PAR,K99/R00,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-813.html
BRAIN Initiative Advanced Postdoctoral Career Transition Award to Promote Diversity (K99/R00 Independent Clinical Trial Not Allowed),6/1/2018,5/8/2021,PAR-18-814,PAR,K99/R00,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-814.html
Occupational Safety and Health Research (R01),5/30/2018,11/18/2023,PAR-18-812,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-812.html
NIOSH Exploratory/Developmental Grant Program (R21),5/24/2018,11/18/2023,PAR-18-798,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-798.html
K01 Mentored Research Scientist Development Award,5/24/2018,11/18/2023,PAR-18-799,PAR,K01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-799.html
NIOSH Small Research Grant Program,5/24/2018,11/18/2023,PAR-18-797,PAR,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-797.html
"Cancer Prevention, Diagnosis, and Treatment Technologies for Low-Resource Settings (R41/R42 - Clinical Trial Optional)",5/24/2018,1/6/2021,PAR-18-802,PAR,R41/R42,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-802.html
"Cancer Prevention, Diagnosis, and Treatment Technologies for Low-Resource Settings (R43/R44 - Clinical Trial Optional)",5/24/2018,1/6/2021,PAR-18-801,PAR,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-801.html
Computational Approaches to Curation at Scale for Biomedical Research Assets (R01 Clinical Trial Not Allowed),5/22/2018,2/1/2020,PAR-18-796,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-796.html
AHRQ Small Research Grant Program (R03),5/21/2018,7/6/2021,PA-18-794,PA,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-794.html
AHRQ Health Services Research Demonstration and Dissemination Grants (R18),5/21/2018,1/28/2021,PA-18-793,PA,R18,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-793.html
AHRQ Health Services Research Projects (R01),5/21/2018,7/6/2021,PA-18-795,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-795.html
"Advancing Evidence into Practice through Shared, Interoperable Clinical Decision Support Resources (U18)",5/21/2018,1/28/2020,PA-18-792,PA,U18,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-792.html
"Patient Safety in the Context of Perinatal, Neonatal, and Pediatric Care (R03 - Clinical Trial Optional)",5/21/2018,9/8/2021,PA-18-791,PA,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-791.html
"Patient Safety in the Context of Perinatal, Neonatal, and Pediatric Care (R01 - Clinical Trial Optional)",5/21/2018,9/8/2021,PA-18-790,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-790.html
BRAIN Initiative: Exploratory Team-Research BRAIN Circuit Programs - eTeamBCP (U01 Clinical Trial Not Allowed),5/17/2018,6/11/2019,RFA-NS-18-029,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-18-029.html
Genetic analysis of non-human animal models to understand the genomic architecture of substance use disorders and addictive behaviors (U01 Clinical Trial Not Allowed),5/16/2018,3/20/2021,PAR-18-789,PAR,U01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-789.html
Precision Imaging of Oral Lesions (R21-Clinical Trial Not Allowed),5/16/2018,9/8/2021,PAR-18-788,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-788.html
Precision Imaging of Oral Lesions (R01- Clinical Trial Not Allowed),5/16/2018,9/8/2021,PAR-18-787,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-787.html
"NHLBI SBIR Phase IIB Bridge Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 - Clinical Trial Optional)",5/16/2018,7/10/2020,RFA-HL-19-017,RFA,R44,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-19-017.html
"NHLBI SBIR Phase IIB Small Market Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)",5/16/2018,7/10/2020,RFA-HL-19-018,RFA,R44,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-19-018.html
Mentored Research Scientist Career Development Award in Tobacco Regulatory Research (K01 - Independent Clinical Trial Not Allowed),5/15/2018,11/9/2019,RFA-OD-18-005,RFA,K01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-005.html
Mentored Research Scientist Career Development Award in Tobacco Regulatory Research (K01 -  Independent Clinical Trial Required),5/15/2018,11/9/2019,RFA-OD-18-006,RFA,K01,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-006.html
Pathway to Independence Award in Tobacco Regulatory Research (K99/R00 - Independent Clinical Trial Required),5/15/2018,11/9/2019,RFA-OD-18-008,RFA,K99/R00,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-008.html
Pathway to Independence Award in Tobacco Regulatory Research (K99/R00 - Independent Clinical Trial Not Allowed),5/15/2018,11/9/2019,RFA-OD-18-007,RFA,K99/R00,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-007.html
Wearable Alcohol Biosensors  (STTR) (R41/R42- Clinical Trial Optional),5/15/2018,4/6/2021,PA-18-785,PA,R41/R42,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-785.html
Wearable Alcohol Biosensors  (SBIR) (R43/R44- Clinical Trial Optional),5/15/2018,4/6/2021,PA-18-786,PA,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-786.html
"The Mechanistic Role of the Microbiome in the Pathobiology of Heart, Lung, Blood, and Sleep Diseases (R01 - Clinical Trial Not Allowed)",5/15/2018,9/8/2021,PA-18-784,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-784.html
NINDS Research Education Opportunities (R25 Clinical Trial Not Allowed),5/11/2018,8/28/2020,PAR-18-782,PAR,R25,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-782.html
Collaborative Cross (CC) Mouse Model Generation and Discovery of Immunoregulatory Mechanisms (R21 Clinical Trials Not Allowed),5/11/2018,9/10/2020,PAR-18-781,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-781.html
"Development and Testing of Novel Interventions to Improve HIV Prevention, Care, and Program Implementation (R34 - Clinical Trial Optional)",5/10/2018,5/8/2021,PA-18-780,PA,R34,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-780.html
International Research Collaboration on Drug Abuse and Addiction Research  (R01 Clinical Trial Optional),5/9/2018,5/8/2021,PA-18-773,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-773.html
Novel Genomic Technology Development (R01 Clinical Trial Not Allowed),5/9/2018,1/8/2021,PAR-18-777,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-777.html
Novel Genomic Technology Development (R43/R44 Clinical Trial Not Allowed),5/9/2018,1/8/2021,PAR-18-779,PAR,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-779.html
Novel Genomic Technology Development (R21 Clinical Trial Not Allowed),5/9/2018,1/8/2021,PAR-18-778,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-778.html
"Maternal Nutrition and Pre-pregnancy Obesity: Effects on Mothers, Infants and Children (R01 Clinical Trial Optional)",5/9/2018,9/8/2021,PA-18-776,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-776.html
Pilot and Feasibility Studies in Preparation for Drug and Alcohol Abuse Prevention Trials (R34 Clinical Trial Optional),5/9/2018,1/8/2021,PA-18-775,PA,R34,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-775.html
"Pilot Health Services and Economic Research on the Treatment of Drug, Alcohol, and Tobacco Use Disorders (R34 Clinical Trial Optional)",5/9/2018,5/8/2021,PA-18-774,PA,R34,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-774.html
NHLBI Career Transition Award for Intramural Postdoctoral Fellows and Research Trainees (K22 Clinical Trial Required),5/9/2018,1/8/2021,PAR-18-771,PAR,K22,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-771.html
NHLBI Career Transition Award for Intramural Postdoctoral Fellows and Research Trainees (K22 Independent Clinical Trial Not Allowed),5/9/2018,1/8/2021,PAR-18-772,PAR,K22,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-772.html
Understanding Skeletal Effects of Type 1 Diabetes (R01 Clinical Trial Optional),5/8/2018,12/7/2018,RFA-DK-18-002,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-002.html
BRAIN Initiative: Development and Validation of Novel Tools to Probe Cell-Specific and Circuit-Specific Processes in the Brain (R01 Clinical Trial Not Allowed),5/3/2018,9/10/2020,RFA-MH-19-136,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-136.html
AHRQ Health Services Research Dissertation Program (R36),5/2/2018,5/2/2023,PA-18-765,PA,R36,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-765.html
Short-Term Research Education Program to Increase Diversity in Health-Related Research (R25 Clinical Trial Not Allowed),5/1/2018,5/7/2021,RFA-HL-19-024,RFA,R25,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-19-024.html
Comprehensive Partnerships to Advance Cancer Health Equity (CPACHE) (Collaborative U54  Clinical Trial Optional),4/30/2018,1/10/2020,PAR-18-767,PAR,U54,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-767.html
T32 Training Program for Institutions That Promote Diversity (T32  Clinical Trial Not Allowed),4/27/2018,5/7/2021,RFA-HL-19-023,RFA,T32,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-19-023.html
Identification and Management of Behavioral Symptoms and Mental Health Conditions in Individuals with Intellectual Disabilities (R01 - Clinical Trial Optional),4/27/2018,9/8/2021,PAR-18-766,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-766.html
Harnessing Big Data to Halt HIV (R01 Clinical Trial Optional),4/20/2018,5/8/2021,PAR-18-764,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-764.html
BRAIN Initiative: Targeted BRAIN Circuits Projects- TargetedBCP (R01 Clinical Trial Not Allowed),4/19/2018,11/11/2020,RFA-NS-18-030,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-18-030.html
Innovation Grants to Nurture Initial Translational Efforts (IGNITE):  Development and Validation of Model Systems and/or Pharmacodynamic Markers to Facilitate Neurotherapeutic Discovery (R61/R33 Clinical Trial Not Allowed),4/19/2018,5/8/2021,PAR-18-763,PAR,R61/R33,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-763.html
Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Neurotherapeutic Agent Characterization and In vivo Efficacy Studies (R61/R33 Clinical Trial Not Allowed),4/19/2018,5/8/2021,PAR-18-761,PAR,R61/R33,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-761.html
Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Assay Development and Neurotherapeutic Agent Identification (R61/R33 Clinical Trial Not Allowed),4/19/2018,5/8/2021,PAR-18-762,PAR,R61/R33,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-762.html
In Vivo Synaptic Function in Alzheimers Disease and Related Dementias (R21 Clinical Trial Not Allowed),4/18/2018,1/8/2021,PAR-18-760,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-760.html
Novel Nucleic Acid Sequencing Technology Development (R21  Clinical Trial Not Allowed),4/18/2018,9/11/2020,RFA-HG-18-002,RFA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-18-002.html
Novel Nucleic Acid Sequencing Technology Development (R01 Clinical Trial Not Allowed),4/18/2018,9/11/2020,RFA-HG-18-001,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-18-001.html
Novel Nucleic Acid Sequencing Technology Development (R43/R44 Clinical Trial Not Allowed),4/18/2018,9/11/2020,RFA-HG-18-003,RFA,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-18-003.html
NIMH Career Transition Award for Tenure-Track Intramural Investigators (K22 No Independent Clinical Trials),4/11/2018,5/8/2021,PAR-18-755,PAR,K22,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-755.html
Novel Biomarkers for the Development of HIV Incidence Assays with Improved Specificity (R01 Clinical Trial Optional),4/11/2018,5/8/2021,PA-18-753,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-753.html
